checkpoint_id,answer_constraint,constraint_field_present,constraint_source,generation_policy,generation_policy_field_present,route_policy,memory_required,nominal_model_size,actual_generator_models,response_transform
cm01_correction_prestore,,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm01_correction_recalled,,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm01_correction_corrected_retained,,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm01_correction_corrected_fresh,,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm01_correction_historical_retained,verified_location,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm01_correction_historical_fresh,verified_location,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm01_correction_restart_retained,,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm01_correction_restart_fresh,,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm01_correction_restart_historical_retained,verified_location,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm01_correction_restart_historical_fresh,verified_location,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm01_deletion_recalled,,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm01_deletion_deleted_retained,,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm01_deletion_deleted_fresh,,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm01_deletion_deleted_historical_retained,,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm01_deletion_restart_retained,,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm01_deletion_restart_fresh,,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm01_deletion_restart_historical_retained,,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm01_expiry_before_retained,,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm01_expiry_before_fresh,,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm01_expiry_at_retained,,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm01_expiry_at_fresh,,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm01_expiry_after_retained,,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm01_expiry_restart_retained,,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm01_expiry_restart_fresh,,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm04_correction_prestore,,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm04_correction_recalled,verified_user_relationship,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm04_correction_corrected_retained,verified_user_relationship,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm04_correction_corrected_fresh,verified_user_relationship,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm04_correction_historical_retained,verified_location,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm04_correction_historical_fresh,verified_location,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm04_correction_restart_retained,,False,,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm04_correction_restart_fresh,,False,,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm04_correction_restart_historical_retained,verified_location,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm04_correction_restart_historical_fresh,verified_location,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm04_deletion_recalled,verified_user_relationship,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm04_deletion_deleted_retained,,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm04_deletion_deleted_fresh,,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm04_deletion_deleted_historical_retained,,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm04_deletion_restart_retained,,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm04_deletion_restart_fresh,,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm04_deletion_restart_historical_retained,,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm04_expiry_before_retained,verified_user_relationship,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm04_expiry_before_fresh,verified_user_relationship,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm04_expiry_at_retained,,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm04_expiry_at_fresh,,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm04_expiry_after_retained,,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm04_expiry_restart_retained,,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm04_expiry_restart_fresh,,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm07_correction_prestore,,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm07_correction_recalled,verified_location,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm07_correction_corrected_retained,verified_location,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm07_correction_corrected_fresh,verified_location,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm07_correction_historical_retained,verified_location,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm07_correction_historical_fresh,verified_location,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm07_correction_restart_retained,verified_location,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm07_correction_restart_fresh,verified_location,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm07_correction_restart_historical_retained,verified_location,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm07_correction_restart_historical_fresh,verified_location,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm07_deletion_recalled,verified_location,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm07_deletion_deleted_retained,,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm07_deletion_deleted_fresh,,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm07_deletion_deleted_historical_retained,,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm07_deletion_restart_retained,,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm07_deletion_restart_fresh,,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm07_deletion_restart_historical_retained,,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm07_expiry_before_retained,verified_location,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm07_expiry_before_fresh,verified_location,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm07_expiry_at_retained,,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm07_expiry_at_fresh,,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm07_expiry_after_retained,,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm07_expiry_restart_retained,,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm07_expiry_restart_fresh,,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm09_correction_prestore,,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm09_correction_recalled,,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm09_correction_corrected_retained,,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm09_correction_corrected_fresh,,True,observed_record.answer_constraint,,True,legacy,True,large,"[""qwen3:1.7b""]",
cm09_correction_historical_retained,verified_location,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm09_correction_historical_fresh,verified_location,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm09_correction_restart_retained,,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm09_correction_restart_fresh,,True,observed_record.answer_constraint,,True,legacy,True,large,"[""qwen3:1.7b""]",
cm09_correction_restart_historical_retained,verified_location,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm09_correction_restart_historical_fresh,verified_location,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm09_deletion_recalled,,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm09_deletion_deleted_retained,,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm09_deletion_deleted_fresh,,True,observed_record.answer_constraint,,True,legacy,True,large,"[""qwen3:1.7b""]",
cm09_deletion_deleted_historical_retained,,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm09_deletion_restart_retained,,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm09_deletion_restart_fresh,,True,observed_record.answer_constraint,,True,legacy,True,large,"[""qwen3:1.7b""]",
cm09_deletion_restart_historical_retained,,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm09_expiry_before_retained,,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm09_expiry_before_fresh,,True,observed_record.answer_constraint,,True,legacy,True,large,"[""qwen3:1.7b""]",
cm09_expiry_at_retained,,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm09_expiry_at_fresh,,True,observed_record.answer_constraint,,True,legacy,True,large,"[""qwen3:1.7b""]",
cm09_expiry_after_retained,,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm09_expiry_restart_retained,,True,observed_record.answer_constraint,,True,legacy,True,small,"[""qwen3:0.6b""]",
cm09_expiry_restart_fresh,,True,observed_record.answer_constraint,,True,legacy,True,large,"[""qwen3:1.7b""]",
