observation_key,review_id,case_id,model,policy,repetition,slot,index,physical_fragment_id,artifact_directory,fragment_offset,local_index,scheduled_index,category,scenario_id,answerability,authorized,memory_need,status,failure,error,request_s,cold_first_request,authorization_s,selection_s,selector_calls,selector_call_s,selection_source,retrieval_selected,selection_decision,selection_resolved,selection_unresolved,retrieval_attempts,unnecessary_retrievals,authorization_violations,retrieval_s,shared_intent_s,response_evidence_linking_s,generation_s,validation_s,loading_s,prefill_s,decode_s,backend_total_s,prompt_tokens,output_tokens,relevant_count,relevant_retrieved,relevant_supplied,retrieved_coverage,supplied_coverage,complete_relevant_retrieved,complete_relevant_supplied,inspected_count,irrelevant_inspected,source_candidate_count,irrelevant_source_candidates,retrieved_count,irrelevant_retrieved,supplied_count,irrelevant_supplied,inspected_ids,supplied_ids,helper_constraint,helper_speech_enum,response_transform,answer,residual_request_s,label,unsupported_claim,unsupported_personal_claim,abstained,explicit_conflict,forbidden_disclosure,task_success,known_fact_cautious_miss,posthoc_known_answer_without_supplied_evidence
slot_01:ir_07_02,review_bb80390cc5c809984674bdeccfe2b9cb,ir_07_02,qwen3:0.6b,OFF,1,1,1,fragment_01,/home/b2jetson/convo_hri_cascading/submodules/Oline_HRI/evaluation/independent_retrieval_20260913/run_v1/session_01,0,1,1,paraphrased_personal_recall,ir_scenario_07,known_authorized,True,True,ok,False,,11.235074872,True,0.010598744,0.010630554,0,0.0,policy_off,False,False,True,False,0,0,0,0.0,0.026024939,0.008781078,11.11485257,0.005920164,9.261601154,0.249437,1.502412,11.028959587,248,52,1,0,0,0.0,0.0,False,False,0,0,0,0,0,0,0,0,[],[],,False,,I do not have a verified personal memory that answers that.,0.058266822999998524,inappropriate_abstention,False,False,True,False,False,False,True,False
slot_01:ir_05_01,review_a96186faf639c4774b2283240560e70e,ir_05_01,qwen3:0.6b,OFF,1,1,2,fragment_01,/home/b2jetson/convo_hri_cascading/submodules/Oline_HRI/evaluation/independent_retrieval_20260913/run_v1/session_01,0,2,2,direct_personal_recall,ir_scenario_05,known_authorized,True,True,ok,False,,1.634879212,False,0.008923737,0.00834312,0,0.0,policy_off,False,False,True,False,0,0,0,0.0,0.009234958,0.010691157,1.546189347,0.006452072,0.001659926,0.037216,1.41891,1.46926643,251,51,1,0,0,0.0,0.0,False,False,0,0,0,0,0,0,0,0,[],[],,False,,I do not have a verified personal memory that answers that.,0.045044820999999846,inappropriate_abstention,False,False,True,False,False,False,True,False
slot_01:ir_03_03,review_635593329e1ea692e2b061ff98168e84,ir_03_03,qwen3:0.6b,OFF,1,1,3,fragment_01,/home/b2jetson/convo_hri_cascading/submodules/Oline_HRI/evaluation/independent_retrieval_20260913/run_v1/session_01,0,3,3,multi_fact_personal,ir_scenario_03,known_authorized,True,True,ok,False,,1.407844244,False,0.012434831,0.011406247,0,0.0,policy_off,False,False,True,False,0,0,0,0.0,0.010599245,0.008251047,1.308918181,0.0085495,0.003072089,0.03327,1.180363,1.228350696,258,44,2,0,0,0.0,0.0,False,False,0,0,0,0,0,0,0,0,[],[],,False,,I do not have a verified personal memory that answers that.,0.04768519300000018,inappropriate_abstention,False,False,True,False,False,False,True,False
slot_01:ir_05_04,review_d1794a2846e70d48a34a4da15dc8368b,ir_05_04,qwen3:0.6b,OFF,1,1,4,fragment_01,/home/b2jetson/convo_hri_cascading/submodules/Oline_HRI/evaluation/independent_retrieval_20260913/run_v1/session_01,0,4,4,general_no_memory,ir_scenario_05,self_contained_general,True,False,ok,False,,1.028002394,False,0.009572388,0.009860056,0,0.0,policy_off,False,False,True,False,0,0,0,0.0,0.009788883,0.010840926,0.942620334,0.005907425,0.002159736,0.074943,0.762673,0.855601039,353,29,0,0,0,,,,,0,0,0,0,0,0,0,0,[],[],,False,,A square has four corners.,0.03941238200000008,complete,False,False,False,False,False,True,False,False
slot_01:ir_07_05,review_1852e66ea303e034d213e75f94c3a0ae,ir_07_05,qwen3:0.6b,OFF,1,1,5,fragment_01,/home/b2jetson/convo_hri_cascading/submodules/Oline_HRI/evaluation/independent_retrieval_20260913/run_v1/session_01,0,5,5,unknown_or_conflicting,ir_scenario_07,conflicting,True,True,ok,False,,1.162481927,False,0.009032029,0.011094991,0,0.0,policy_off,False,False,True,False,0,0,0,0.0,0.009023516,0.009326322,1.069128303,0.004611717,0.002591703,0.0429,0.893427,0.987487987,247,34,2,0,0,0.0,0.0,False,False,0,0,0,0,0,0,0,0,[],[],,False,,I do not have a verified personal memory that answers that.,0.05026504900000006,appropriate_abstention,False,False,True,False,False,True,False,False
slot_01:ir_06_06,review_51307988074e114a3d6ca0457e65d054,ir_06_06,qwen3:0.6b,OFF,1,1,6,fragment_01,/home/b2jetson/convo_hri_cascading/submodules/Oline_HRI/evaluation/independent_retrieval_20260913/run_v1/session_01,0,6,6,lifecycle_or_authorization,ir_scenario_06,unavailable_lifecycle,True,True,ok,False,,1.094974316,False,0.011871172,0.012830376,0,0.0,policy_off,False,False,True,False,0,0,0,0.0,0.011988364,0.008183585,0.994994923,0.007193562,0.002628697,0.033678,0.846882,0.902233771,247,32,0,0,0,,,,,0,0,0,0,0,0,0,0,[],[],,False,,I do not have a verified personal memory that answers that.,0.047912333999999834,appropriate_abstention,False,False,True,False,False,True,False,False
slot_01:ir_07_04,review_021060e4883d8a049a0c946495aae8bd,ir_07_04,qwen3:0.6b,OFF,1,1,7,fragment_01,/home/b2jetson/convo_hri_cascading/submodules/Oline_HRI/evaluation/independent_retrieval_20260913/run_v1/session_01,0,7,7,general_no_memory,ir_scenario_07,self_contained_general,True,False,ok,False,,0.979058363,False,0.009169381,0.008504086,0,0.0,policy_off,False,False,True,False,0,0,0,0.0,0.015160746,0.008962006,0.890714521,0.006191891,0.002809189,0.077223,0.708843,0.803062088,359,27,0,0,0,,,,,0,0,0,0,0,0,0,0,[],[],,False,,The combined weight is 5 kilograms.,0.04035573200000009,complete,False,False,False,False,False,True,False,False
slot_01:ir_08_02,review_2b34a32df8ef6ba4ba6fee3aa53cdb80,ir_08_02,qwen3:0.6b,OFF,1,1,8,fragment_01,/home/b2jetson/convo_hri_cascading/submodules/Oline_HRI/evaluation/independent_retrieval_20260913/run_v1/session_01,0,8,8,paraphrased_personal_recall,ir_scenario_08,known_authorized,True,True,ok,False,,1.302171253,False,0.012233051,0.012990992,0,0.0,policy_off,False,False,True,False,0,0,0,0.0,0.016542857,0.012243004,1.200012625,0.005218638,0.001658485,0.035769,1.064616,1.114213643,361,39,1,0,0,0.0,0.0,False,False,0,0,0,0,0,0,0,0,[],[],,False,,I don't have a book or a telescope to remind you of its title.,0.04293008599999992,inappropriate_abstention,False,False,True,False,False,False,True,False
slot_01:ir_03_04,review_cee9e187331a8c8604caaed85c71c706,ir_03_04,qwen3:0.6b,OFF,1,1,9,fragment_01,/home/b2jetson/convo_hri_cascading/submodules/Oline_HRI/evaluation/independent_retrieval_20260913/run_v1/session_01,0,9,9,general_no_memory,ir_scenario_03,self_contained_general,True,False,ok,False,,1.580521637,False,0.008286693,0.010072098,0,0.0,policy_off,False,False,True,False,0,0,0,0.0,0.008924882,0.009362769,1.497186097,0.005662285,0.001723833,0.03199,1.369231,1.418261396,353,48,0,0,0,,,,,0,0,0,0,0,0,0,0,[],[],,False,,"Masking tape helps create straight paint edges by providing a rigid, non-slip surface that prevents the paint from bleeding or curling unevenly.",0.04102681299999977,partial,True,False,False,False,False,False,False,False
slot_01:ir_04_02,review_9354b59a1bdf08b04ee53a2bdfa8614e,ir_04_02,qwen3:0.6b,OFF,1,1,10,fragment_01,/home/b2jetson/convo_hri_cascading/submodules/Oline_HRI/evaluation/independent_retrieval_20260913/run_v1/session_01,0,10,10,paraphrased_personal_recall,ir_scenario_04,known_authorized,True,True,ok,False,,1.47884228,False,0.015163622,0.010591685,0,0.0,policy_off,False,False,True,False,0,0,0,0.0,0.013831752,0.009734377,1.368571973,0.00735565,0.001989611,0.05372,1.161475,1.274691261,255,43,1,0,0,0.0,0.0,False,False,0,0,0,0,0,0,0,0,[],[],,False,,I do not have a verified personal memory that answers that.,0.05359322099999986,inappropriate_abstention,False,False,True,False,False,False,True,False
slot_01:ir_08_04,review_ccfe55019fd2e23c4f44c5c2bc62bc0d,ir_08_04,qwen3:0.6b,OFF,1,1,11,fragment_01,/home/b2jetson/convo_hri_cascading/submodules/Oline_HRI/evaluation/independent_retrieval_20260913/run_v1/session_01,0,11,11,general_no_memory,ir_scenario_08,self_contained_general,True,False,ok,False,,1.648654995,False,0.009159584,0.01115038,0,0.0,policy_off,False,False,True,False,0,0,0,0.0,0.009692229,0.013213884,1.554550277,0.006119307,0.002274655,0.084579,1.376513,1.477247724,353,50,0,0,0,,,,,0,0,0,0,0,0,0,0,[],[],,False,,"A notebook helps an observer compare telescope observations by allowing them to track and analyze data across different nights, facilitating a systematic comparison of results.",0.04476933399999994,complete,False,False,False,False,False,True,False,False
slot_01:ir_01_01,review_70c87f50ac6fad5e65c1299db72faea8,ir_01_01,qwen3:0.6b,OFF,1,1,12,fragment_01,/home/b2jetson/convo_hri_cascading/submodules/Oline_HRI/evaluation/independent_retrieval_20260913/run_v1/session_01,0,12,12,direct_personal_recall,ir_scenario_01,known_authorized,True,True,ok,False,,1.618021733,False,0.012650035,0.013525872,0,0.0,policy_off,False,False,True,False,0,0,0,0.0,0.010187239,0.010604035,1.511078946,0.007222231,0.001789629,0.040834,1.33837,1.43187304,248,49,1,0,0,0.0,0.0,False,False,0,0,0,0,0,0,0,0,[],[],,False,,I do not have a verified personal memory that answers that.,0.05275337499999977,inappropriate_abstention,False,False,True,False,False,False,True,False
slot_01:ir_01_03,review_f5eaccccf1371dc60937d36846211d33,ir_01_03,qwen3:0.6b,OFF,1,1,13,fragment_01,/home/b2jetson/convo_hri_cascading/submodules/Oline_HRI/evaluation/independent_retrieval_20260913/run_v1/session_01,0,13,13,multi_fact_personal,ir_scenario_01,known_authorized,True,True,ok,False,,1.40662705,False,0.011869563,0.011896669,0,0.0,policy_off,False,False,True,False,0,0,0,0.0,0.010668616,0.011921695,1.303733547,0.006517765,0.002024365,0.038909,1.174991,1.229004728,258,43,2,0,0,0.0,0.0,False,False,0,0,0,0,0,0,0,0,[],[],,False,,I do not have a verified personal memory that answers that.,0.05001919500000018,inappropriate_abstention,False,False,True,False,False,False,True,False
