dimensions,group,system,checkpoint_attempts,model_metadata_missing,checkpoints_with_no_returned_generator_model,actual_generator_calls,actual_generator_model_calls
all,{},baseline,24,0,0,24,"{""qwen3:0.6b"": 24}"
all,{},repair,24,0,0,24,"{""qwen3:0.6b"": 24}"
branch,"{""branch"": ""correction""}",baseline,10,0,0,10,"{""qwen3:0.6b"": 10}"
branch,"{""branch"": ""correction""}",repair,10,0,0,10,"{""qwen3:0.6b"": 10}"
branch,"{""branch"": ""deletion""}",baseline,7,0,0,7,"{""qwen3:0.6b"": 7}"
branch,"{""branch"": ""deletion""}",repair,7,0,0,7,"{""qwen3:0.6b"": 7}"
branch,"{""branch"": ""expiry""}",baseline,7,0,0,7,"{""qwen3:0.6b"": 7}"
branch,"{""branch"": ""expiry""}",repair,7,0,0,7,"{""qwen3:0.6b"": 7}"
history_mode,"{""history_mode"": ""fresh""}",baseline,9,0,0,9,"{""qwen3:0.6b"": 9}"
history_mode,"{""history_mode"": ""fresh""}",repair,9,0,0,9,"{""qwen3:0.6b"": 9}"
history_mode,"{""history_mode"": ""retained""}",baseline,15,0,0,15,"{""qwen3:0.6b"": 15}"
history_mode,"{""history_mode"": ""retained""}",repair,15,0,0,15,"{""qwen3:0.6b"": 15}"
after_restart,"{""after_restart"": false}",baseline,15,0,0,15,"{""qwen3:0.6b"": 15}"
after_restart,"{""after_restart"": false}",repair,15,0,0,15,"{""qwen3:0.6b"": 15}"
after_restart,"{""after_restart"": true}",baseline,9,0,0,9,"{""qwen3:0.6b"": 9}"
after_restart,"{""after_restart"": true}",repair,9,0,0,9,"{""qwen3:0.6b"": 9}"
expected_kind,"{""expected_kind"": ""historical_control""}",baseline,4,0,0,4,"{""qwen3:0.6b"": 4}"
expected_kind,"{""expected_kind"": ""historical_control""}",repair,4,0,0,4,"{""qwen3:0.6b"": 4}"
expected_kind,"{""expected_kind"": ""original""}",baseline,4,0,0,4,"{""qwen3:0.6b"": 4}"
expected_kind,"{""expected_kind"": ""original""}",repair,4,0,0,4,"{""qwen3:0.6b"": 4}"
expected_kind,"{""expected_kind"": ""replacement""}",baseline,4,0,0,4,"{""qwen3:0.6b"": 4}"
expected_kind,"{""expected_kind"": ""replacement""}",repair,4,0,0,4,"{""qwen3:0.6b"": 4}"
expected_kind,"{""expected_kind"": ""uncertainty""}",baseline,12,0,0,12,"{""qwen3:0.6b"": 12}"
expected_kind,"{""expected_kind"": ""uncertainty""}",repair,12,0,0,12,"{""qwen3:0.6b"": 12}"
branch+history_mode,"{""branch"": ""correction"", ""history_mode"": ""fresh""}",baseline,4,0,0,4,"{""qwen3:0.6b"": 4}"
branch+history_mode,"{""branch"": ""correction"", ""history_mode"": ""fresh""}",repair,4,0,0,4,"{""qwen3:0.6b"": 4}"
branch+history_mode,"{""branch"": ""correction"", ""history_mode"": ""retained""}",baseline,6,0,0,6,"{""qwen3:0.6b"": 6}"
branch+history_mode,"{""branch"": ""correction"", ""history_mode"": ""retained""}",repair,6,0,0,6,"{""qwen3:0.6b"": 6}"
branch+history_mode,"{""branch"": ""deletion"", ""history_mode"": ""fresh""}",baseline,2,0,0,2,"{""qwen3:0.6b"": 2}"
branch+history_mode,"{""branch"": ""deletion"", ""history_mode"": ""fresh""}",repair,2,0,0,2,"{""qwen3:0.6b"": 2}"
branch+history_mode,"{""branch"": ""deletion"", ""history_mode"": ""retained""}",baseline,5,0,0,5,"{""qwen3:0.6b"": 5}"
branch+history_mode,"{""branch"": ""deletion"", ""history_mode"": ""retained""}",repair,5,0,0,5,"{""qwen3:0.6b"": 5}"
branch+history_mode,"{""branch"": ""expiry"", ""history_mode"": ""fresh""}",baseline,3,0,0,3,"{""qwen3:0.6b"": 3}"
branch+history_mode,"{""branch"": ""expiry"", ""history_mode"": ""fresh""}",repair,3,0,0,3,"{""qwen3:0.6b"": 3}"
branch+history_mode,"{""branch"": ""expiry"", ""history_mode"": ""retained""}",baseline,4,0,0,4,"{""qwen3:0.6b"": 4}"
branch+history_mode,"{""branch"": ""expiry"", ""history_mode"": ""retained""}",repair,4,0,0,4,"{""qwen3:0.6b"": 4}"
branch+after_restart+history_mode,"{""after_restart"": false, ""branch"": ""correction"", ""history_mode"": ""fresh""}",baseline,2,0,0,2,"{""qwen3:0.6b"": 2}"
branch+after_restart+history_mode,"{""after_restart"": false, ""branch"": ""correction"", ""history_mode"": ""fresh""}",repair,2,0,0,2,"{""qwen3:0.6b"": 2}"
branch+after_restart+history_mode,"{""after_restart"": false, ""branch"": ""correction"", ""history_mode"": ""retained""}",baseline,4,0,0,4,"{""qwen3:0.6b"": 4}"
branch+after_restart+history_mode,"{""after_restart"": false, ""branch"": ""correction"", ""history_mode"": ""retained""}",repair,4,0,0,4,"{""qwen3:0.6b"": 4}"
branch+after_restart+history_mode,"{""after_restart"": true, ""branch"": ""correction"", ""history_mode"": ""fresh""}",baseline,2,0,0,2,"{""qwen3:0.6b"": 2}"
branch+after_restart+history_mode,"{""after_restart"": true, ""branch"": ""correction"", ""history_mode"": ""fresh""}",repair,2,0,0,2,"{""qwen3:0.6b"": 2}"
branch+after_restart+history_mode,"{""after_restart"": true, ""branch"": ""correction"", ""history_mode"": ""retained""}",baseline,2,0,0,2,"{""qwen3:0.6b"": 2}"
branch+after_restart+history_mode,"{""after_restart"": true, ""branch"": ""correction"", ""history_mode"": ""retained""}",repair,2,0,0,2,"{""qwen3:0.6b"": 2}"
branch+after_restart+history_mode,"{""after_restart"": false, ""branch"": ""deletion"", ""history_mode"": ""fresh""}",baseline,1,0,0,1,"{""qwen3:0.6b"": 1}"
branch+after_restart+history_mode,"{""after_restart"": false, ""branch"": ""deletion"", ""history_mode"": ""fresh""}",repair,1,0,0,1,"{""qwen3:0.6b"": 1}"
branch+after_restart+history_mode,"{""after_restart"": false, ""branch"": ""deletion"", ""history_mode"": ""retained""}",baseline,3,0,0,3,"{""qwen3:0.6b"": 3}"
branch+after_restart+history_mode,"{""after_restart"": false, ""branch"": ""deletion"", ""history_mode"": ""retained""}",repair,3,0,0,3,"{""qwen3:0.6b"": 3}"
branch+after_restart+history_mode,"{""after_restart"": true, ""branch"": ""deletion"", ""history_mode"": ""fresh""}",baseline,1,0,0,1,"{""qwen3:0.6b"": 1}"
branch+after_restart+history_mode,"{""after_restart"": true, ""branch"": ""deletion"", ""history_mode"": ""fresh""}",repair,1,0,0,1,"{""qwen3:0.6b"": 1}"
branch+after_restart+history_mode,"{""after_restart"": true, ""branch"": ""deletion"", ""history_mode"": ""retained""}",baseline,2,0,0,2,"{""qwen3:0.6b"": 2}"
branch+after_restart+history_mode,"{""after_restart"": true, ""branch"": ""deletion"", ""history_mode"": ""retained""}",repair,2,0,0,2,"{""qwen3:0.6b"": 2}"
branch+after_restart+history_mode,"{""after_restart"": false, ""branch"": ""expiry"", ""history_mode"": ""fresh""}",baseline,2,0,0,2,"{""qwen3:0.6b"": 2}"
branch+after_restart+history_mode,"{""after_restart"": false, ""branch"": ""expiry"", ""history_mode"": ""fresh""}",repair,2,0,0,2,"{""qwen3:0.6b"": 2}"
branch+after_restart+history_mode,"{""after_restart"": false, ""branch"": ""expiry"", ""history_mode"": ""retained""}",baseline,3,0,0,3,"{""qwen3:0.6b"": 3}"
branch+after_restart+history_mode,"{""after_restart"": false, ""branch"": ""expiry"", ""history_mode"": ""retained""}",repair,3,0,0,3,"{""qwen3:0.6b"": 3}"
branch+after_restart+history_mode,"{""after_restart"": true, ""branch"": ""expiry"", ""history_mode"": ""fresh""}",baseline,1,0,0,1,"{""qwen3:0.6b"": 1}"
branch+after_restart+history_mode,"{""after_restart"": true, ""branch"": ""expiry"", ""history_mode"": ""fresh""}",repair,1,0,0,1,"{""qwen3:0.6b"": 1}"
branch+after_restart+history_mode,"{""after_restart"": true, ""branch"": ""expiry"", ""history_mode"": ""retained""}",baseline,1,0,0,1,"{""qwen3:0.6b"": 1}"
branch+after_restart+history_mode,"{""after_restart"": true, ""branch"": ""expiry"", ""history_mode"": ""retained""}",repair,1,0,0,1,"{""qwen3:0.6b"": 1}"
expected_kind+after_restart+history_mode,"{""after_restart"": false, ""expected_kind"": ""historical_control"", ""history_mode"": ""fresh""}",baseline,1,0,0,1,"{""qwen3:0.6b"": 1}"
expected_kind+after_restart+history_mode,"{""after_restart"": false, ""expected_kind"": ""historical_control"", ""history_mode"": ""fresh""}",repair,1,0,0,1,"{""qwen3:0.6b"": 1}"
expected_kind+after_restart+history_mode,"{""after_restart"": false, ""expected_kind"": ""historical_control"", ""history_mode"": ""retained""}",baseline,1,0,0,1,"{""qwen3:0.6b"": 1}"
expected_kind+after_restart+history_mode,"{""after_restart"": false, ""expected_kind"": ""historical_control"", ""history_mode"": ""retained""}",repair,1,0,0,1,"{""qwen3:0.6b"": 1}"
expected_kind+after_restart+history_mode,"{""after_restart"": true, ""expected_kind"": ""historical_control"", ""history_mode"": ""fresh""}",baseline,1,0,0,1,"{""qwen3:0.6b"": 1}"
expected_kind+after_restart+history_mode,"{""after_restart"": true, ""expected_kind"": ""historical_control"", ""history_mode"": ""fresh""}",repair,1,0,0,1,"{""qwen3:0.6b"": 1}"
expected_kind+after_restart+history_mode,"{""after_restart"": true, ""expected_kind"": ""historical_control"", ""history_mode"": ""retained""}",baseline,1,0,0,1,"{""qwen3:0.6b"": 1}"
expected_kind+after_restart+history_mode,"{""after_restart"": true, ""expected_kind"": ""historical_control"", ""history_mode"": ""retained""}",repair,1,0,0,1,"{""qwen3:0.6b"": 1}"
expected_kind+after_restart+history_mode,"{""after_restart"": false, ""expected_kind"": ""original"", ""history_mode"": ""fresh""}",baseline,1,0,0,1,"{""qwen3:0.6b"": 1}"
expected_kind+after_restart+history_mode,"{""after_restart"": false, ""expected_kind"": ""original"", ""history_mode"": ""fresh""}",repair,1,0,0,1,"{""qwen3:0.6b"": 1}"
expected_kind+after_restart+history_mode,"{""after_restart"": false, ""expected_kind"": ""original"", ""history_mode"": ""retained""}",baseline,3,0,0,3,"{""qwen3:0.6b"": 3}"
expected_kind+after_restart+history_mode,"{""after_restart"": false, ""expected_kind"": ""original"", ""history_mode"": ""retained""}",repair,3,0,0,3,"{""qwen3:0.6b"": 3}"
expected_kind+after_restart+history_mode,"{""after_restart"": false, ""expected_kind"": ""replacement"", ""history_mode"": ""fresh""}",baseline,1,0,0,1,"{""qwen3:0.6b"": 1}"
expected_kind+after_restart+history_mode,"{""after_restart"": false, ""expected_kind"": ""replacement"", ""history_mode"": ""fresh""}",repair,1,0,0,1,"{""qwen3:0.6b"": 1}"
expected_kind+after_restart+history_mode,"{""after_restart"": false, ""expected_kind"": ""replacement"", ""history_mode"": ""retained""}",baseline,1,0,0,1,"{""qwen3:0.6b"": 1}"
expected_kind+after_restart+history_mode,"{""after_restart"": false, ""expected_kind"": ""replacement"", ""history_mode"": ""retained""}",repair,1,0,0,1,"{""qwen3:0.6b"": 1}"
expected_kind+after_restart+history_mode,"{""after_restart"": true, ""expected_kind"": ""replacement"", ""history_mode"": ""fresh""}",baseline,1,0,0,1,"{""qwen3:0.6b"": 1}"
expected_kind+after_restart+history_mode,"{""after_restart"": true, ""expected_kind"": ""replacement"", ""history_mode"": ""fresh""}",repair,1,0,0,1,"{""qwen3:0.6b"": 1}"
expected_kind+after_restart+history_mode,"{""after_restart"": true, ""expected_kind"": ""replacement"", ""history_mode"": ""retained""}",baseline,1,0,0,1,"{""qwen3:0.6b"": 1}"
expected_kind+after_restart+history_mode,"{""after_restart"": true, ""expected_kind"": ""replacement"", ""history_mode"": ""retained""}",repair,1,0,0,1,"{""qwen3:0.6b"": 1}"
expected_kind+after_restart+history_mode,"{""after_restart"": false, ""expected_kind"": ""uncertainty"", ""history_mode"": ""fresh""}",baseline,2,0,0,2,"{""qwen3:0.6b"": 2}"
expected_kind+after_restart+history_mode,"{""after_restart"": false, ""expected_kind"": ""uncertainty"", ""history_mode"": ""fresh""}",repair,2,0,0,2,"{""qwen3:0.6b"": 2}"
expected_kind+after_restart+history_mode,"{""after_restart"": false, ""expected_kind"": ""uncertainty"", ""history_mode"": ""retained""}",baseline,5,0,0,5,"{""qwen3:0.6b"": 5}"
expected_kind+after_restart+history_mode,"{""after_restart"": false, ""expected_kind"": ""uncertainty"", ""history_mode"": ""retained""}",repair,5,0,0,5,"{""qwen3:0.6b"": 5}"
expected_kind+after_restart+history_mode,"{""after_restart"": true, ""expected_kind"": ""uncertainty"", ""history_mode"": ""fresh""}",baseline,2,0,0,2,"{""qwen3:0.6b"": 2}"
expected_kind+after_restart+history_mode,"{""after_restart"": true, ""expected_kind"": ""uncertainty"", ""history_mode"": ""fresh""}",repair,2,0,0,2,"{""qwen3:0.6b"": 2}"
expected_kind+after_restart+history_mode,"{""after_restart"": true, ""expected_kind"": ""uncertainty"", ""history_mode"": ""retained""}",baseline,3,0,0,3,"{""qwen3:0.6b"": 3}"
expected_kind+after_restart+history_mode,"{""after_restart"": true, ""expected_kind"": ""uncertainty"", ""history_mode"": ""retained""}",repair,3,0,0,3,"{""qwen3:0.6b"": 3}"
scenario_id,"{""scenario_id"": ""cm04""}",baseline,24,0,0,24,"{""qwen3:0.6b"": 24}"
scenario_id,"{""scenario_id"": ""cm04""}",repair,24,0,0,24,"{""qwen3:0.6b"": 24}"
