scenario_id,category,column,branch,stage,stage_label,checkpoint_id,blind_id,logical_time,history_mode,after_restart,expected_kind,expected_value,observed,status,classification,useful_correct,forbidden_disclosure,disclosed_forbidden_values,figure_code,figure_label,fill_hex,delivered_answer,judgment_reason
cm01,preference,1,correction,prestore,"Before storing
retained",cm01_correction_prestore,b_494f84648c5962c71333fbfc,2026-10-01T11:59:59+00:00,retained,False,uncertainty,,True,delivered,appropriate_uncertainty,True,False,[],U,Appropriate uncertainty,#3e79b2,I do not have a verified personal memory that answers that.,"Explicitly indicates the preferred tea is not available in memory, matching the empty authorized state."
cm01,preference,2,correction,recalled,"Original recall
retained",cm01_correction_recalled,b_6e4c260e40c523033e71fcd4,2026-10-01T12:00:02+00:00,retained,False,original,rooibos,True,delivered,correct_recall,True,False,[],R,Useful correct known recall,#19776b,Your preferred tea is rooibos tea.,"Clearly names the authorized preferred tea, rooibos, with no additional personal details."
cm01,preference,3,correction,corrected_retained,"After correction
retained",cm01_correction_corrected_retained,b_08e36043a2cb0333253223b9,2026-10-01T12:01:01+00:00,retained,False,replacement,jasmine,True,delivered,partial,False,False,[],F,Other unsuccessful delivered answer,#e2b34c,Your preferred tea is jasmine tea. I don't know which tea you prefer.,Supplies the correct jasmine preference but immediately contradicts the recall by saying it does not know the preference.
cm01,preference,4,correction,corrected_fresh,"After correction
fresh",cm01_correction_corrected_fresh,b_08e36043a2cb0333253223b9,2026-10-01T12:01:01+00:00,fresh,False,replacement,jasmine,True,delivered,partial,False,False,[],F,Other unsuccessful delivered answer,#e2b34c,Your preferred tea is jasmine tea. I don't know which tea you prefer.,Supplies the correct jasmine preference but immediately contradicts the recall by saying it does not know the preference.
cm01,preference,5,correction,historical_retained,"Historical control
retained",cm01_correction_historical_retained,b_882bb36e75d3c5ac857082c9,2026-10-01T12:01:02+00:00,retained,False,historical_control,Maple Pavilion,True,delivered,correct_recall,True,False,[],R,Useful correct known recall,#19776b,Your Larkspur picnic was at Maple Pavilion.,Directly supplies Maple Pavilion for the requested picnic without mentioning tea preferences.
cm01,preference,6,correction,historical_fresh,"Historical control
fresh",cm01_correction_historical_fresh,b_882bb36e75d3c5ac857082c9,2026-10-01T12:01:02+00:00,fresh,False,historical_control,Maple Pavilion,True,delivered,correct_recall,True,False,[],R,Useful correct known recall,#19776b,Your Larkspur picnic was at Maple Pavilion.,Directly supplies Maple Pavilion for the requested picnic without mentioning tea preferences.
cm01,preference,7,correction,restart_retained,"After restart
retained",cm01_correction_restart_retained,b_ad9f1976104bb191623a5ec1,2026-10-01T12:02:01+00:00,retained,True,replacement,jasmine,True,delivered,correct_recall,True,False,[],R,Useful correct known recall,#19776b,Your preferred tea is jasmine tea.,Directly gives jasmine tea as the current preference without obsolete or unrelated facts.
cm01,preference,8,correction,restart_fresh,"After restart
fresh",cm01_correction_restart_fresh,b_ad9f1976104bb191623a5ec1,2026-10-01T12:02:01+00:00,fresh,True,replacement,jasmine,True,delivered,correct_recall,True,False,[],R,Useful correct known recall,#19776b,Your preferred tea is jasmine tea.,Directly gives jasmine tea as the current preference without obsolete or unrelated facts.
cm01,preference,9,correction,restart_historical_retained,"Restart historical
retained",cm01_correction_restart_historical_retained,b_882bb36e75d3c5ac857082c9,2026-10-01T12:02:02+00:00,retained,True,historical_control,Maple Pavilion,True,delivered,correct_recall,True,False,[],R,Useful correct known recall,#19776b,Your Larkspur picnic was at Maple Pavilion.,Directly supplies Maple Pavilion for the requested picnic without mentioning tea preferences.
cm01,preference,10,correction,restart_historical_fresh,"Restart historical
fresh",cm01_correction_restart_historical_fresh,b_882bb36e75d3c5ac857082c9,2026-10-01T12:02:02+00:00,fresh,True,historical_control,Maple Pavilion,True,delivered,correct_recall,True,False,[],R,Useful correct known recall,#19776b,Your Larkspur picnic was at Maple Pavilion.,Directly supplies Maple Pavilion for the requested picnic without mentioning tea preferences.
