sequence_id,pattern,arm,repetition,attempt_directory,id,index,request_id,attributes,clock,end_ns,name,parent_id,start_ns,status,wall_ns
ro_dddd_1,DDDD,adaptive,1,ro_dddd_1_r1_adaptive,1,1,ro_dddd_1_t1,{},monotonic_ns,108001516711453,complete_request,,107959288762519,ok,42227948934
ro_dddd_1,DDDD,adaptive,1,ro_dddd_1_r1_adaptive,2,1,ro_dddd_1_t1,{},monotonic_ns,107959329074600,routing,1,107959296685943,ok,32388657
ro_dddd_1,DDDD,adaptive,1,ro_dddd_1_r1_adaptive,3,1,ro_dddd_1_t1,"{""easy"": false, ""memory_required"": false, ""memory_source"": ""policy_general"", ""model_size"": ""large"", ""model_size_source"": ""lightweight_large"", ""phase"": ""initial"", ""policy"": ""lightweight_v1"", ""resident_hint"": null, ""small_streak"": 0}",monotonic_ns,107959315677880,deterministic_routing,2,107959301129681,ok,14548199
ro_dddd_1,DDDD,adaptive,1,ro_dddd_1_r1_adaptive,4,1,ro_dddd_1_t1,"{""memory_required"": false, ""memory_source"": ""policy_general"", ""model_size"": ""large"", ""model_size_source"": ""lightweight_large"", ""phase"": ""final"", ""policy"": ""lightweight_v1"", ""resident_hint"": null, ""small_streak"": 0}",monotonic_ns,107959324804241,deterministic_routing,2,107959320070737,ok,4733504
ro_dddd_1,DDDD,adaptive,1,ro_dddd_1_r1_adaptive,5,1,ro_dddd_1_t1,"{""actual_model"": ""qwen3:1.7b"", ""content"": ""{\""speech\"": \""There are 7 crates × 6 cups = 42 cups total. After 5 damaged cups are removed, 42 - 5 = 37 usable cups.\"",\""gesture_id\"": \""NO_ACTION\"",\""memory_used\"": []}"", ""model"": ""qwen3:1.7b"", ""request"": {""messages"": [{""content"": ""You are a concise, friendly assistant running fully offline on a household companion robot. Be honest about uncertainty and never claim that a physical action occurred.\n\nReturn only JSON fields speech, gesture_id, memory_used. Answer ordinary informational and planning requests now, including offline. Assume reasonable missing details; do not refuse for missing details/access. Compare, recommend, plan. gesture_id must be \""NO_ACTION\"". No verified personal-memory records were supplied for this turn, so memory_used must be an empty array. Start with the answer itself. Do not merely say what you can or will do; include the requested reasoning and plan now. Human facts use \""you\""/\""your\""; never copy \""the user\"" or use robot \""I\""/\""my\"". Never invent personal time/date/name/relationship beyond request/memory. Complete JSON in at most 80 speech words. Speech must not say or imply that you performed a physical action."", ""role"": ""system""}, {""content"": ""APPLICATION_REQUEST=\""What is the number of usable cups in seven crates of six cups each after five damaged cups are removed? Explain the calculation briefly.\""\nRESPONSE_RULE=Complete APPLICATION_REQUEST now; start with the answer. Use one line of plain spoken English: no LaTeX, backslashes or line breaks. Aim for at most 80 speech words. Match requested format, counts and constraints. Use concrete details, not promises to provide details later. Check that your conclusion follows from your explanation; correct false premises. State uncertainty when facts are missing. Never invent settings, resources, guarantees or completed actions. Do not speak JSON field names, memory selectors or provenance."", ""role"": ""user""}], ""model"": ""qwen3:1.7b"", ""response_format"": {""additionalProperties"": false, ""properties"": {""gesture_id"": {""enum"": [""NO_ACTION""], ""type"": ""string""}, ""memory_used"": {""description"": ""Machine-only selector values for every supplied fact used. Leave empty when no supplied record is relevant."", ""items"": {""type"": ""string""}, ""maxItems"": 0, ""type"": ""array""}, ""speech"": {""description"": ""Answer prose only. Put selector values exclusively in memory_used; never add parenthetical provenance. Compare dates directly. Never claim a physical action occurred."", ""maxLength"": 1200, ""minLength"": 1, ""type"": ""string""}}, ""required"": [""speech"", ""gesture_id"", ""memory_used""], ""type"": ""object""}}}",monotonic_ns,108001498760111,answer_generation,1,107959340273290,ok,42158486821
ro_dddd_1,DDDD,adaptive,1,ro_dddd_1_r1_adaptive,6,1,ro_dddd_1_t1,"{""requested_model"": ""qwen3:1.7b"", ""tracked_after"": null, ""tracked_before"": ""unknown""}",monotonic_ns,107959415605345,model_transition,5,107959372569849,ok,43035496
ro_dddd_1,DDDD,adaptive,1,ro_dddd_1_r1_adaptive,7,1,ro_dddd_1_t1,"{""model"": ""qwen3:0.6b""}",monotonic_ns,107959396060341,unload_request,6,107959377072756,ok,18987585
ro_dddd_1,DDDD,adaptive,1,ro_dddd_1_r1_adaptive,8,1,ro_dddd_1_t1,"{""model"": ""qwen3:0.6b"", ""residency_after"": {""polls"": [{""models"": [], ""monotonic_ns"": 107959410053392}], ""verified_absent"": ""qwen3:0.6b""}}",monotonic_ns,107959410070353,eviction_verification,6,107959401671879,ok,8398474
ro_dddd_1,DDDD,adaptive,1,ro_dddd_1_r1_adaptive,9,1,ro_dddd_1_t1,"{""actual_model"": ""qwen3:1.7b"", ""backend_eval_duration_ns"": 18572858000, ""backend_load_duration_ns"": 22678498764, ""backend_prompt_eval_duration_ns"": 756760000, ""backend_response"": {""created_at"": ""2026-09-12T16:05:22.952382523Z"", ""done"": true, ""done_reason"": ""stop"", ""eval_count"": 55, ""eval_duration"": 18572858000, ""load_duration"": 22678498764, ""message"": {""content"": ""{\""speech\"": \""There are 7 crates × 6 cups = 42 cups total. After 5 damaged cups are removed, 42 - 5 = 37 usable cups.\"",\""gesture_id\"": \""NO_ACTION\"",\""memory_used\"": []}"", ""role"": ""assistant""}, ""model"": ""qwen3:1.7b"", ""prompt_eval_cached_count"": 0, ""prompt_eval_count"": 338, ""prompt_eval_duration"": 756760000, ""total_duration"": 42022626367}, ""backend_total_duration_ns"": 42022626367, ""content"": ""{\""speech\"": \""There are 7 crates × 6 cups = 42 cups total. After 5 damaged cups are removed, 42 - 5 = 37 usable cups.\"",\""gesture_id\"": \""NO_ACTION\"",\""memory_used\"": []}"", ""done_reason"": ""stop"", ""eval_count"": 55, ""overlaps"": ""answer_generation or classifier; backend durations overlap this wall span"", ""prompt_eval_count"": 338, ""request"": {""format"": {""additionalProperties"": false, ""properties"": {""gesture_id"": {""enum"": [""NO_ACTION""], ""type"": ""string""}, ""memory_used"": {""description"": ""Machine-only selector values for every supplied fact used. Leave empty when no supplied record is relevant."", ""items"": {""type"": ""string""}, ""maxItems"": 0, ""type"": ""array""}, ""speech"": {""description"": ""Answer prose only. Put selector values exclusively in memory_used; never add parenthetical provenance. Compare dates directly. Never claim a physical action occurred."", ""maxLength"": 1200, ""minLength"": 1, ""type"": ""string""}}, ""required"": [""speech"", ""gesture_id"", ""memory_used""], ""type"": ""object""}, ""keep_alive"": -1, ""messages"": [{""content"": ""You are a concise, friendly assistant running fully offline on a household companion robot. Be honest about uncertainty and never claim that a physical action occurred.\n\nReturn only JSON fields speech, gesture_id, memory_used. Answer ordinary informational and planning requests now, including offline. Assume reasonable missing details; do not refuse for missing details/access. Compare, recommend, plan. gesture_id must be \""NO_ACTION\"". No verified personal-memory records were supplied for this turn, so memory_used must be an empty array. Start with the answer itself. Do not merely say what you can or will do; include the requested reasoning and plan now. Human facts use \""you\""/\""your\""; never copy \""the user\"" or use robot \""I\""/\""my\"". Never invent personal time/date/name/relationship beyond request/memory. Complete JSON in at most 80 speech words. Speech must not say or imply that you performed a physical action."", ""role"": ""system""}, {""content"": ""APPLICATION_REQUEST=\""What is the number of usable cups in seven crates of six cups each after five damaged cups are removed? Explain the calculation briefly.\""\nRESPONSE_RULE=Complete APPLICATION_REQUEST now; start with the answer. Use one line of plain spoken English: no LaTeX, backslashes or line breaks. Aim for at most 80 speech words. Match requested format, counts and constraints. Use concrete details, not promises to provide details later. Check that your conclusion follows from your explanation; correct false premises. State uncertainty when facts are missing. Never invent settings, resources, guarantees or completed actions. Do not speak JSON field names, memory selectors or provenance."", ""role"": ""user""}], ""model"": ""qwen3:1.7b"", ""options"": {""num_ctx"": 2048, ""num_predict"": 192, ""seed"": 42, ""temperature"": 0.0}, ""stream"": false, ""think"": false}, ""requested_model"": ""qwen3:1.7b""}",monotonic_ns,108001465222916,backend_chat,5,107959419786454,ok,42045436462
ro_dddd_1,DDDD,adaptive,1,ro_dddd_1_r1_adaptive,10,1,ro_dddd_1_t1,"{""model"": ""qwen3:1.7b"", ""models"": [{""context_length"": 2048, ""details"": {""families"": [""qwen3""], ""family"": ""qwen3"", ""format"": ""gguf"", ""parameter_size"": ""2.0B"", ""parent_model"": """", ""quantization_level"": ""Q4_K_M""}, ""digest"": ""8f68893c685c3ddff2aa3fffce2aa60a30bb2da65ca488b61fff134a4d1730e7"", ""expires_at"": ""2318-12-23T19:52:39.807728325+04:00"", ""model"": ""qwen3:1.7b"", ""name"": ""qwen3:1.7b"", ""size"": 1658826258, ""size_vram"": 1098876190}], ""phase"": ""after_backend_call""}",monotonic_ns,108001493534085,residency_audit,5,108001484139942,ok,9394143
