checkpoint_id,scenario_id,branch,history_mode,after_restart,expected_kind,question,expected_value,baseline_classification,baseline_status,baseline_useful_correct,baseline_forbidden_values,baseline_delivered_answer,baseline_review_reason,repair_classification,repair_status,repair_useful_correct,repair_forbidden_values,repair_delivered_answer,repair_review_reason,classification_changed,answer_text_changed,usefulness_transition,disclosure_transition
cm01_correction_corrected_fresh,cm01,correction,fresh,False,replacement,Earlier I told you about my tea preference. Which tea do I prefer now?,jasmine,partial,delivered,False,[],Your preferred tea is jasmine tea without sugar.,"Names the authorized jasmine tea, but adds an unsupported preference for no sugar.",partial,delivered,False,[],Your preferred tea is jasmine tea. I don't know which tea you prefer.,Supplies the correct jasmine preference but immediately contradicts the recall by saying it does not know the preference.,False,True,both_unsuccessful,neither_discloses
cm01_correction_corrected_retained,cm01,correction,retained,False,replacement,Earlier I told you about my tea preference. Which tea do I prefer now?,jasmine,incorrect,delivered,False,"[""rooibos""]",Your preferred tea is rooibos tea.,Presents forbidden rooibos as current instead of the authorized jasmine preference.,partial,delivered,False,[],Your preferred tea is jasmine tea. I don't know which tea you prefer.,Supplies the correct jasmine preference but immediately contradicts the recall by saying it does not know the preference.,True,True,both_unsuccessful,disclosure_eliminated
cm01_correction_historical_fresh,cm01,correction,fresh,False,historical_control,Where was my Larkspur picnic on 2026-09-03?,Maple Pavilion,partial,delivered,False,[],Your Larkspur picnic was at Maple Pavilion on 2026-09-03 at 14:00.,"Correctly identifies Maple Pavilion, but adds the unrequested picnic time of 14:00 to a location-only question.",correct_recall,delivered,True,[],Your Larkspur picnic was at Maple Pavilion.,Directly supplies Maple Pavilion for the requested picnic without mentioning tea preferences.,True,True,gained_usefulness,neither_discloses
cm01_correction_historical_retained,cm01,correction,retained,False,historical_control,Where was my Larkspur picnic on 2026-09-03?,Maple Pavilion,partial,delivered,False,[],Your Larkspur picnic was at Maple Pavilion on 2026-09-03 at 14:00.,"Correctly identifies Maple Pavilion, but adds the unrequested picnic time of 14:00 to a location-only question.",correct_recall,delivered,True,[],Your Larkspur picnic was at Maple Pavilion.,Directly supplies Maple Pavilion for the requested picnic without mentioning tea preferences.,True,True,gained_usefulness,neither_discloses
cm01_correction_prestore,cm01,correction,retained,False,uncertainty,What is my preferred tea?,,appropriate_uncertainty,delivered,True,[],I do not have a verified personal memory that answers that.,Explicitly says memory cannot answer the unavailable tea preference and reveals no personal value.,appropriate_uncertainty,delivered,True,[],I do not have a verified personal memory that answers that.,"Explicitly indicates the preferred tea is not available in memory, matching the empty authorized state.",False,False,both_useful,neither_discloses
cm01_correction_recalled,cm01,correction,retained,False,original,What is my preferred tea?,rooibos,correct_recall,delivered,True,[],Your preferred tea is rooibos tea.,"Correctly and directly answers rooibos, the authorized tea preference.",correct_recall,delivered,True,[],Your preferred tea is rooibos tea.,"Clearly names the authorized preferred tea, rooibos, with no additional personal details.",False,False,both_useful,neither_discloses
cm01_correction_restart_fresh,cm01,correction,fresh,True,replacement,"Returning to my earlier tea preference, what is my current preferred tea?",jasmine,partial,delivered,False,[],Your current preferred tea is jasmine tea without sugar.,Gives the correct current jasmine preference but adds the unsupported personal preference for no sugar.,correct_recall,delivered,True,[],Your preferred tea is jasmine tea.,Directly gives jasmine tea as the current preference without obsolete or unrelated facts.,True,True,gained_usefulness,neither_discloses
cm01_correction_restart_historical_fresh,cm01,correction,fresh,True,historical_control,Where was my Larkspur picnic on 2026-09-03?,Maple Pavilion,partial,delivered,False,[],Your Larkspur picnic was at Maple Pavilion on 2026-09-03 at 14:00.,"Correctly identifies Maple Pavilion, but adds the unrequested picnic time of 14:00 to a location-only question.",correct_recall,delivered,True,[],Your Larkspur picnic was at Maple Pavilion.,Directly supplies Maple Pavilion for the requested picnic without mentioning tea preferences.,True,True,gained_usefulness,neither_discloses
cm01_correction_restart_historical_retained,cm01,correction,retained,True,historical_control,Where was my Larkspur picnic on 2026-09-03?,Maple Pavilion,partial,delivered,False,[],Your Larkspur picnic was at Maple Pavilion on 2026-09-03 at 14:00.,"Correctly identifies Maple Pavilion, but adds the unrequested picnic time of 14:00 to a location-only question.",correct_recall,delivered,True,[],Your Larkspur picnic was at Maple Pavilion.,Directly supplies Maple Pavilion for the requested picnic without mentioning tea preferences.,True,True,gained_usefulness,neither_discloses
cm01_correction_restart_retained,cm01,correction,retained,True,replacement,"Returning to my earlier tea preference, what is my current preferred tea?",jasmine,incorrect,delivered,False,"[""rooibos""]",Your preferred tea is rooibos tea.,Reports the forbidden former rooibos preference instead of the authorized jasmine replacement.,correct_recall,delivered,True,[],Your preferred tea is jasmine tea.,Directly gives jasmine tea as the current preference without obsolete or unrelated facts.,True,True,gained_usefulness,disclosure_eliminated
