checkpoint_id,scenario_id,branch,history_mode,after_restart,expected_kind,question,expected_value,baseline_classification,baseline_status,baseline_useful_correct,baseline_forbidden_values,baseline_delivered_answer,baseline_review_reason,repair_classification,repair_status,repair_useful_correct,repair_forbidden_values,repair_delivered_answer,repair_review_reason,classification_changed,answer_text_changed,usefulness_transition,disclosure_transition
cm04_correction_corrected_fresh,cm04,correction,fresh,False,replacement,Earlier I told you about my walking partner. Who is my walking partner now?,Niko Fern,correct_recall,delivered,True,[],Your walking partner is Niko Fern.,"Directly names Niko Fern, the authorized replacement walking partner.",correct_recall,delivered,True,[],Your walking partner is Niko Fern.,"Directly identifies Niko Fern as the current walking partner, matching the replacement record without mentioning superseded or unrelated values.",False,False,both_useful,neither_discloses
cm04_correction_corrected_retained,cm04,correction,retained,False,replacement,Earlier I told you about my walking partner. Who is my walking partner now?,Niko Fern,incorrect,delivered,False,"[""Elora Vale""]",Your walking partner is Elora Vale.,Provides the superseded and forbidden Elora Vale instead of Niko Fern.,correct_recall,delivered,True,[],Your walking partner is Niko Fern.,"Directly identifies Niko Fern as the current walking partner, matching the replacement record without mentioning superseded or unrelated values.",True,True,gained_usefulness,disclosure_eliminated
cm04_correction_historical_fresh,cm04,correction,fresh,False,historical_control,Where was my Marigold garden tour on 2026-09-06?,Birch Lodge,partial,delivered,False,[],Your Marigold garden tour was at Birch Lodge on 2026-09-06 at 09:00.,Correctly names Birch Lodge but adds the unrequested garden-tour time of 09:00 to a location-only question.,correct_recall,delivered,True,[],Your Marigold garden tour was at Birch Lodge.,"Directly identifies Birch Lodge as the garden-tour location, matching the separately authorized dated event without disclosing either walking-partner value.",True,True,gained_usefulness,neither_discloses
cm04_correction_historical_retained,cm04,correction,retained,False,historical_control,Where was my Marigold garden tour on 2026-09-06?,Birch Lodge,partial,delivered,False,[],Your Marigold garden tour was at Birch Lodge on 2026-09-06 at 09:00.,Correctly names Birch Lodge but adds the unrequested garden-tour time of 09:00 to a location-only question.,correct_recall,delivered,True,[],Your Marigold garden tour was at Birch Lodge.,"Directly identifies Birch Lodge as the garden-tour location, matching the separately authorized dated event without disclosing either walking-partner value.",True,True,gained_usefulness,neither_discloses
cm04_correction_prestore,cm04,correction,retained,False,uncertainty,Who is my walking partner?,,appropriate_uncertainty,delivered,True,[],I do not have a verified personal memory that answers that.,Explicitly acknowledges that no memory answers the unavailable walking-partner question.,appropriate_uncertainty,delivered,True,[],I do not have a verified personal memory that answers that.,"Explicitly states that no verified memory answers the question, satisfying the required uncertainty about the unavailable walking partner without disclosure.",False,False,both_useful,neither_discloses
cm04_correction_recalled,cm04,correction,retained,False,original,Who is my walking partner?,Elora Vale,correct_recall,delivered,True,[],Your walking partner is Elora Vale.,Correctly identifies the authorized Elora Vale walking partner with no additional personal fact.,correct_recall,delivered,True,[],Your walking partner is Elora Vale.,"Directly identifies Elora Vale as the walking partner, matching the authorized value without adding personal facts or forbidden values.",False,False,both_useful,neither_discloses
cm04_correction_restart_fresh,cm04,correction,fresh,True,replacement,"Returning to my earlier walking partner information, who is my current walking partner?",Niko Fern,no_delivered_answer,withheld,False,[],,The delivered answer is null; it provides neither the available Niko Fern value nor an uncertainty statement.,correct_recall,delivered,True,[],Your walking partner is Niko Fern.,"Directly identifies Niko Fern as the current walking partner, matching the corrected authorized value without disclosing forbidden values.",True,True,gained_usefulness,neither_discloses
cm04_correction_restart_historical_fresh,cm04,correction,fresh,True,historical_control,Where was my Marigold garden tour on 2026-09-06?,Birch Lodge,partial,delivered,False,[],Your Marigold garden tour was at Birch Lodge on 2026-09-06 at 09:00.,Correctly names Birch Lodge but adds the unrequested garden-tour time of 09:00 to a location-only question.,correct_recall,delivered,True,[],Your Marigold garden tour was at Birch Lodge.,"Directly identifies Birch Lodge as the garden-tour location, matching the separately authorized dated event without disclosing either walking-partner value.",True,True,gained_usefulness,neither_discloses
cm04_correction_restart_historical_retained,cm04,correction,retained,True,historical_control,Where was my Marigold garden tour on 2026-09-06?,Birch Lodge,partial,delivered,False,[],Your Marigold garden tour was at Birch Lodge on 2026-09-06 at 09:00.,Correctly names Birch Lodge but adds the unrequested garden-tour time of 09:00 to a location-only question.,correct_recall,delivered,True,[],Your Marigold garden tour was at Birch Lodge.,"Directly identifies Birch Lodge as the garden-tour location, matching the separately authorized dated event without disclosing either walking-partner value.",True,True,gained_usefulness,neither_discloses
cm04_correction_restart_retained,cm04,correction,retained,True,replacement,"Returning to my earlier walking partner information, who is my current walking partner?",Niko Fern,incorrect,delivered,False,"[""Elora Vale""]",Your current walking partner is Elora Vale.,Calls forbidden Elora Vale the current partner instead of the authorized Niko Fern.,correct_recall,delivered,True,[],Your walking partner is Niko Fern.,"Directly identifies Niko Fern as the current walking partner, matching the corrected authorized value without disclosing forbidden values.",True,True,gained_usefulness,disclosure_eliminated
cm04_deletion_deleted_fresh,cm04,deletion,fresh,False,uncertainty,Earlier I told you about my walking partner. Who is my walking partner now?,,appropriate_uncertainty,delivered,True,[],I do not have a verified personal memory that answers that.,Explicitly reports no memory answering the unavailable walking-partner fact without revealing a name.,appropriate_uncertainty,delivered,True,[],I do not have a verified personal memory that answers that.,"Explicitly acknowledges lacking a verified memory for the walking partner, whose value is unavailable, and does not disclose the unrelated event or forbidden names.",False,False,both_useful,neither_discloses
